Name,Price,Designs,Material,Color,Warranty,Seater,Armrest,Shape,Brand,Length (Cm),Breadth (Cm),Height (Cm),Ratings,Sold Count
"Cortez L-Shaped Wooden Sofa with Side Storage Drawer
(Honey Finish)",61499,0,Sheesham wood,Cream,36,0,No,L - Shape,Wooden Street,294.6,182.9,71.1,4.8,58
Black Rope L Shape Sofa Set With Table And Black Cushions,59999,0,Rope,Black,1,0,0,0,Devoko,0,0,0,0,0
"Arbor Fabric Sofa Set
(Velvet, Dark Olive Green)",59997,Contemporary,Velvet,Green,36,4,0,0,Wooden Street,208.3,76.2,78.7,5,15
"Arbor Fabric Sofa Set
(Velvet, Chestnut Brown)",59997,Contemporary,Velvet,Brown,36,4,0,0,Wooden Street,208.3,76.2,78.7,5,15
"Arbor Fabric Sofa Set
(Velvet, Graphite Grey)",59997,Contemporary,Velvet,Grey,36,4,0,0,Wooden Street,208.3,76.2,78.7,5,15
"Arbor Fabric Sofa Set
(Velvet, Indigo Blue)",59997,Contemporary,Velvet,Blue,36,4,0,0,Wooden Street,208.3,76.2,78.7,5,15
"Arbor Fabric Sofa Set
(Velvet, Mulberry Pink)",59997,Contemporary,Velvet,Purple,36,4,0,0,Wooden Street,208.3,76.2,78.7,5,15
"Albert L - Shape Right Aligned Corner Sofa With Adjustable Headrest
(Velvet, Chestnut Brown)",58989,Modern,Velvet,Brown,36,0,Yes,L - Shape,Wooden Street,269.2,96.5,83.8,4.5,76
"Albert L - Shape Right Aligned Corner Sofa With Adjustable Headrest
(Velvet, Indigo Blue)",58989,Modern,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,269.2,96.5,83.8,4.5,76
"Mckellen L Shape Right Aligned Corner Sofa Cum Bed
(Graphite Grey)",58989,Modern,Velvet,Grey,36,0,No,0,Wooden Street,221.0,96.5,77.5,5,15
"Albert L - Shape Right Aligned Corner Sofa With Adjustable Headrest
(Velvet, Graphite Grey)",58989,Modern,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,269.2,96.5,83.8,4.5,76
Beige Rope L Shape Sofa Set With Table And Light Grey Cushions,56999,0,Rope,Beige,1,0,0,0,Devoko,0,0,0,0,0
